Time: 12:01:21.611444| SENSOR   | Yaw value received: -119.4
Time: 12:01:21.613441| SYSTEM   | Changed compass orientation
Time: 12:01:21.978124| DEBUG    | func: 9| mode: 1| size: 12| data: update (24s)
Time: 12:01:22.017431| LOG      | [INFO]: received: update (24s)
Time: 12:01:22.080705| DEBUG    | func: 6| mode: 1| size: 4| data: -117.1
Time: 12:01:22.119015| SENSOR   | Yaw value received: -117.1
Time: 12:01:22.121574| SYSTEM   | Changed compass orientation
Time: 12:01:22.491145| DEBUG    | func: 9| mode: 1| size: 12| data: update (25s)
Time: 12:01:22.525378| LOG      | [INFO]: received: update (25s)
Time: 12:01:22.595323| DEBUG    | func: 6| mode: 1| size: 4| data: -117.1
Time: 12:01:22.626366| SENSOR   | Yaw value received: -117.1
Time: 12:01:22.629388| SYSTEM   | Changed compass orientation
Time: 12:01:23.012482| DEBUG    | func: 9| mode: 1| size: 12| data: update (25s)
Time: 12:01:23.032291| LOG      | [INFO]: received: update (25s)
Time: 12:01:23.115821| DEBUG    | func: 6| mode: 1| size: 4| data: -118.3
Time: 12:01:23.133316| SENSOR   | Yaw value received: -118.3
Time: 12:01:23.136314| SYSTEM   | Changed compass orientation
Time: 12:01:23.533446| DEBUG    | func: 9| mode: 1| size: 12| data: update (26s)
Time: 12:01:23.539312| LOG      | [INFO]: received: update (26s)
Time: 12:01:23.636027| DEBUG    | func: 6| mode: 1| size: 4| data: -118.3
Time: 12:01:23.639753| SENSOR   | Yaw value received: -118.3
Time: 12:01:23.641750| SYSTEM   | Changed compass orientation
Time: 12:01:24.144645| DEBUG    | func: 9| mode: 1| size: 12| data: update (26s)
Time: 12:01:24.145640| LOG      | [INFO]: received: update (26s)
Time: 12:01:24.247942| DEBUG    | func: 6| mode: 1| size: 4| data: -118.6
Time: 12:01:24.347102| SENSOR   | Yaw value received: -118.6
Time: 12:01:24.349126| SYSTEM   | Changed compass orientation
Time: 12:01:24.655139| DEBUG    | func: 9| mode: 1| size: 12| data: update (27s)
Time: 12:01:24.751996| LOG      | [INFO]: received: update (27s)
Time: 12:01:24.758263| DEBUG    | func: 6| mode: 1| size: 4| data: -118.6
Time: 12:01:24.852720| SENSOR   | Yaw value received: -118.6
Time: 12:01:24.854744| SYSTEM   | Changed compass orientation
